FIPS;B_CircleCentroids;B_dbscan_500_km;B_EllipseCentroids;B_maxdays;B_maxmonths;B_maxposts;B_maxtimedelta;B_maxweeks;B_MeanCenters;B_MedianCenters;H_CircleCentroids;H_dbscan_500km;H_EllipseCentroids;H_maxdays;H_maxmonths;H_maxposts;H_maxtimedelta;H_maxweeks;H_MeanCenters;H_MedianCenters
AF;;;;;;;;;;;;;;;;;;;;
AL;;;;;;;;;;;;;;;;;;;;
AG;1.0;;1.0;;;;;;1.0;;;;;;;;;;;
AQ;;;;;;;;;;;;;;;;;;;;
AN;;;;;;;;;;;;;;;;;;;;
AO;1.0;;1.0;;;;;;1.0;;;;;;;;;;;
AV;;;;;;;;;;;;;;;;;;;;
AC;;;;;;;;;;;;;;;;;;;;
AR;;;;;;;;;;;;;;;;;;;;
AM;;;;;;;;;;;;;;;;;;;;
AS;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;2.0;3.0;2.0;2.0;2.0
AU;;;;;;;;;;;;;;1.0;;;;;;
AJ;;;;;;;;;;;;;;;;;;;;
BF;;;;;;;;;;;;;;;;;;;;
BA;;;;;;;;;;;;;;;;;;;;
BG;;;;;;;;;;;;;;;;;;;;
BB;;;;;;;;;;;;;;;;;;;;
BO;;;;;;;;;;;;;;;;;;;;
BE;;;;;;;;;;;;;;;;;;;;
BH;;;;;;;;;;;;;;;;;;;;
BN;;;;;;;;;;;;;;;;;;;;
BD;1.0;;1.0;;;;;;1.0;;;;;;;;;;;
BT;;;;;;;;;;;;;;;;;;;;
BL;;;;;;;;;;;;;;;;;;;;
BK;;;;;;;;;;;;;;;;;;;;
BC;;;;;;;;;;1.0;;;;;;;;;;
BV;;;;;;;;;;;;;;;;;;;;
BR;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
IO;;;;;;;;;;;;;;;;;;;;
VI;;;;;;;;;;;;;;;;;;;;
BX;;;;;;;;;;;;;;;;;;;;
BU;;;;;;;;;;;;;;;;;;;;
UV;;;;;;;;;;;;;;;;;;;;
BM;;;;;;;;;;;;;;;;;;;;
BY;;;;;;;;;;;;;;;;;;;;
CB;;;;;;;;;;;;;;;;;;;;
CM;;;;;;;;;;;;;;;;;;;;
CA;1.0;;1.0;;;;;;1.0;;;;;;;;;;;
CV;;;;;;;;;;;;;;;;;;;;
CJ;;;;;;;;;;;;;;;;;;;;
CT;;;;;;;;;;;;;;;;;;;;
CD;;;;;;;;;;;;;;;;;;;;
CI;;;;;;;;;;;;;;;;;;;;
CH;1.0;;1.0;;;;;;1.0;1.0;;;;;;;;;;
CX;;;;;;;;;;;;;;;;;;;;
CC;;;;;;;;;;;;;;;;;;;;
CO;;;;;;;;;;;;;;;;;;;;
CN;;;;;;;;;;;;;;;;;;;;
CF;;;;;;;;;;;;;;;;;;;;
CW;;;;;;;;;;;;;;;;;;;;
CS;;;;;;;;;;;;;;;;;;;;
IV;2.0;;2.0;;;;;;2.0;;;;;;;;;;;
HR;;;;;;;;;;;;;;;;;;;;
CU;;;;;;;;;;;;;;;;;;;;
CY;;;;;;;;;;;;;;;;;;;;
EZ;;;;;;;;;;;;;;;;;;;;
CG;;;;;;;;;;;;;;;;;;;;
DA;;;;;;;;;;;;;;;;;;;;
DJ;;;;;;;;;;;;;;;;;;;;
DO;;;;;;;;;;;;;;;;;;;;
DR;;;;;;;;;;;;;;;;;;;;
NL_car;;;;;;;;;;;;;;;;;;;;
EC;;;;;;;;;;;;;;;;;;;;
EG;;;;;;;;;;1.0;;;;;;;;;;
ES;;;;;;;;;;;;;;;;;;;;
EK;;;;;;;;;;;;;;;;;;;;
ER;;;;;;;;;;;;;;;;;;;;
EN;;;;;;;;;;;;;;;;;;;;
ET;;;;;;;;;;;;;;;;;;;;
FK;;;;;;;;;;;;;;;;;;;;
FO;;;;;;;;;;;;;;;;;;;;
FJ;;;;;;;;;;;;;;;;;;;;
FI;;;;;;;;;;;;;;;;;;;;
FR;1.0;;1.0;;;;1.0;;1.0;;;;;;;;1.0;;1.0;1.0
FG;;;;;;;;;;;;;;;;;;;;
FP;;;;;;;;;;;;;;;;;;;;
FS;;;;;;;;;;;;;;;;;;;;
GB;;;;;;;;;;;;;;;;;;;;
GA;;;;;;;;;;;;;;;;;;;;
GG;;;;;;;;;;;;;;;;;;;;
GM;;;;;;;;;;;;;;;;;;;;
GH;;;;;;;;;;;;;;;;;;;;
GI;;;;;;;;;;;;;;;;;;;;
GR;;;;;;;;;;;;;;;;;;;;
GL;;;;;;;;;;;;;;;;;;;;
GJ;;;;;;;;;;;;;;;;;;;;
GP;;;;;;;;;;;;;;;;;;;;
GQ;;;;;;;;;;;;;;;;;;;;
GT;;;;;;;;;;;;;;;;;;;;
GK;;;;;;;;;;;;;;;;;;;;
GV;;;;;;;;;;;;;;;;;;;;
PU;;;;;;;;;;;;;;;;;;;;
GY;;;;;;;;;;;;;;;;;;;;
HA;;;;;;;;;;;;;;;;;;;;
HM;;;;;;;;;;;;;;;;;;;;
VT;;;;;;;;;;;;;;;;;;;;
HO;;;;;;;;;;;;;;;;;;;;
HK;;1.0;;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0
HU;;;;;;;;;;;;;;;;;;;;
IC;;;;;;;;;;;;;;;;;;;;
IN;;1.0;;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
ID;;;;;;;;;;;;;;;;;;;;
IR;;;;;;;;;;1.0;1.0;;1.0;;;;;;1.0;
IZ;;;;;;;;;;1.0;;;;;;;;;;
EI;;;;;;;;;;;;;;;;;;;;
IM;;;;;;;;;;;;;;;;;;;;
IS;;;;;;;;;;;;;;;;;;;;
IT;;;;;;;;;;;;;;;;;;;;
JM;;;;;;;;;;;;;;;;;;;;
JA;;;;;;;;;;;;;;;;;;;;
JE;;;;;;;;;;;;;;;;;;;;
JO;;;;;;;;;;;;;;;;;;;;
KZ;;;;;;;;;;;;;;;;;;;;
KE;;;;;;;;;;;;;;;;;;;;
KR;;;;;;;;;;;;;;;;;;;;
KN;;;;;;;;;;;;;;;;;;;;
KS;;;;;;;;;;;;;;;;;;;;
KV;;;;;;;;;;;;;;;;;;;;
KU;;;;;;;;;;;;;;;1.0;;1.0;;;
KG;;;;;;;;;;;;;;;;;;;;
LA;;;;1.0;1.0;1.0;1.0;1.0;;1.0;;;;1.0;1.0;1.0;1.0;1.0;;1.0
LG;;;;;;;;;;;;;;;;;;;;
LE;;;;;;;;;;;;;;;;;;;;
LT;;;;;;;;;;;1.0;;1.0;;;;;;1.0;
LI;1.0;;1.0;;;;;;1.0;;;;;;;;;;;
LY;;;;;;;;;;;;;;;;;;;;
LS;;;;;;;;;;;;;;;;;;;;
LH;;;;;;;;;;;;;;;;;;;;
LU;;;;;;;;;;;;;;;;;;;;
MC;;;;;;;;;;;;;;;;;;;;
MA;;;;;;;;;;;;;;;;;;;;
MI;;;;;;;;;;;;;;;;;;;;
MY;;;;;;;;;;;;;;;;;;;;
MV;;;;;;;;;;;;;;;;;;;;
ML;;;;;;;;;;;;;;;;;;;;
MT;;;;;;;;;;;;;;;;;;;;
RM;;;;;;;;;;;;;;;;;;;;
MB;;;;;;;;;;;;;;;;;;;;
MR;;;;;;;;;;;;;;;;;;;;
MP;;;;;;;;;;;;;;;;;;;;
MF;;;;;;;;;;;;;;;;;;;;
MX;;;;;;;;;;;;;;;;;;;;
FM;;;;;;;;;;;;;;;;;;;;
MN;;;;;;;;;;;;;;;;;;;;
MG;;;;;;;;;;;;;;;;;;;;
MJ;;;;;;;;;;;;;;;;;;;;
MH;;;;;;;;;;;;;;;;;;;;
MO;;;;;;;;;;;;;;;;;;;;
MZ;1.0;;1.0;;;;;;1.0;;1.0;;1.0;;;;;;1.0;
WA;2.0;;2.0;;;;;;2.0;1.0;;;;;;;;;;
NR;;;;;;;;;;;;;;;;;;;;
NP;;;;;;;;;;;;;;;;;;;;
NL;;1.0;;1.0;1.0;1.0;1.0;1.0;;;;1.0;;1.0;;1.0;;1.0;;
NC;;;;;;;;;;;;;;;;;;;;
NZ;;;;;;;;;;;;;;;;;;;;
NU;;;;;;;;;;;;;;;;;;;;
NG;;;;;;;;;;;;;;;;;;;;
NI;;1.0;;1.0;1.0;1.0;;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0
NE;;;;;;;;;;;;;;;;;;;;
NF;;;;;;;;;;;;;;;;;;;;
CQ;;;;;;;;;;;;;;;;;;;;
NO;;;;;;;;;;;;;;;;;;;;
MU;;;;;;;;;;1.0;;;;;;;;;;
PK;;;;;;;;;;;;;;;;;;;;
PS;;;;;;;;;;;;;;;;;;;;
PM;;;;;;;;;;;;;;;;;;;;
PP;;;;;;;;;;;;;;;;;;;;
PA;;;;;;;;;;;;;;;;;;;;
PE;;;;;;;;;;;;;;;;;;;;
RP;;;;;;;;;;;;;;;;;;;;
PC;;;;;;;;;;;;;;;;;;;;
PL;;;;;;;;;;;;;;;;;;;;
PO;1.0;;1.0;;;;;;1.0;;;;;;;;;;;
RQ;;;;;;;;;;;;;;;;;;;;
QA;;;;;;;;;;;;;;;;;;;;
MD;;;;;;;;;;;;;;;;;;;;
RE;;;;;;;;;;;;;;;;;;;;
RO;;;;;;;;;;;;;;;;;;;;
RS;;;;;;;1.0;;;;;;;;;;1.0;;;
RW;;;;;;;;;;;;;;;;;;;;
TB;;;;;;;;;;;;;;;;;;;;
SH;;;;;;;;;;;;;;;;;;;;
SC;;;;;;;;;;;;;;;;;;;;
ST;;;;;;;;;;;;;;;;;;;;
RN;;;;;;;;;;;;;;;;;;;;
SB;;;;;;;;;;;;;;;;;;;;
VC;;;;;;;;;;;;;;;;;;;;
WS;;;;;;;;;;;;;;;;;;;;
SM;;;;;;;;;;;;;;;;;;;;
TP;;;;;;;;;;;;;;;;;;;;
SA;2.0;;2.0;;;;;;2.0;;;;;;;;;;;1.0
SG;;;;;;;;;;;;;;;;;;;;
RB;;;;;;;;;;;;;;;;;;;;
SE;;;;;;;;;;;;;;;;;;;;
SL;;;;;;;;;;;;;;;;;;;;
SN;;;;;;;;;;;;;;;;;;;;
LO;;;;;;;;;;;;;;;;;;;;
SI;;;;;;;;;;;;;;;;;;;;
BP;;;;;;;;;;;;;;;;;;;;
SO;;;;;;;;;;;;;;;;;;;;
SF;8.0;16.0;8.0;16.0;16.0;16.0;16.0;16.0;8.0;13.0;15.0;16.0;15.0;16.0;16.0;16.0;15.0;16.0;15.0;16.0
GS;;;;;;;;;;;;;;;;;;;;
OD;;;;;;;;;;;;;;;;;;;;
SP;;;;;;;;;;1.0;;;;;;1.0;;1.0;;
CE;;;;;;;;;;;1.0;;1.0;;;;;;1.0;
SU;1.0;;1.0;;;;;;1.0;;;;;;;;;;;
NS;;;;;;;;;;;;;;;;;;;;
SV;;;;;;;;;;;;;;;;;;;;
WZ;;;;;;;;;;;;;;;;;;;;
SW;;;;;;;;;;;;;;;;;1.0;;;
SZ;;;;;;;;;;;;;;;;;;;;
SY;;;;;;;;;;;;;;;;;;;;
TW;;;;;;;;;;;;;;;;;;;;
TI;;;;;;;;;;;;;;;;;;;;
TH;1.0;1.0;1.0;;;;;;1.0;;1.0;1.0;1.0;;;;;;1.0;
MK;;;;;;;;;;;;;;;;;;;;
TT;;;;;;;;;;;;;;;;;;;;
TO;;;;;;;;;;;;;;;;;;;;
TL;;;;;;;;;;;;;;;;;;;;
TN;;;;;;;;;;;;;;;;;;;;
TD;;;;;;;;;;;;;;;;;;;;
TS;;;;;;;;;;;;;;;;;;;;
TU;2.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
TX;;;;;;;;;;;;;;;;;;;;
TK;;;;;;;;;;;;;;;;;;;;
TV;;;;;;;;;;;;;;;;;;;;
UG;;;;;;;;;;;;;;;;;;;;
UP;;;;;;;;;;;;;;;;;;;;
AE;;1.0;;1.0;1.0;1.0;1.0;1.0;;;;1.0;;1.0;1.0;1.0;1.0;1.0;;1.0
UK;;1.0;;1.0;1.0;1.0;1.0;1.0;;1.0;;1.0;;1.0;2.0;1.0;2.0;1.0;;1.0
TZ;;;;;;;;;;;;;;;;;;;;
US;4.0;8.0;4.0;8.0;7.0;8.0;6.0;8.0;4.0;7.0;6.0;8.0;6.0;7.0;6.0;7.0;6.0;7.0;6.0;7.0
UM;;;;;;;;;;;;;;;;;;;;
VQ;;;;;;;;;;;;;;;;;;;;
UY;;;;;;;;;;;;;;;;;;;;
UZ;;;;;;;;;;;;;;;;;;;;
NH;;;;;;;;;;;;;;;;;;;;
VE;;;;;;;;;;;;;;;;;;;;
VM;;;;;;;;;;;;;;;;;;;;
WF;;;;;;;;;;;;;;;;;;;;
WI;;;;;;;;;;;;;;;;;;;;
YM;;;;;;;;;;;;;;;;;;;;
ZA;;;;;;;;;;;;;;;;;;;;
ZI;1.0;;1.0;;;;;;1.0;;;;;;;;;;;
NO INFO;;;;;;;;;;;;;;;;;;;;
GLOBAL;;;;;;;;;;;;;;;;;;;;
